Server,Allocated Users
10,"[198, 271, 324, 329, 466, 641, 831, 910, 915, 1129, 1231, 1306, 1309, 1457, 1463, 1713, 1786, 1980, 2059, 2187, 2443, 2536, 2548, 2638, 2675, 2689, 2760, 2821, 2840, 2963, 3051, 3078, 3101, 3116, 3230, 3380, 3496, 3614, 4143, 4401, 4517, 4836, 4950, 4965, 5175, 5238, 5277, 5321, 5456, 5531, 5885, 5986, 6008, 6200, 6384, 6397, 6560, 6680, 6809, 6925, 6952, 7012, 7136, 7696, 7707, 7727, 7885, 8038, 8090, 8099, 8161, 8271, 8311, 8642, 8718, 8911, 8936, 8948, 9276, 9362, 9575, 9682, 9715, 9783, 9845]"
11,"[21, 173, 209, 225, 254, 260, 265, 289, 447, 579, 645, 685, 701, 912, 1057, 1075, 1108, 1413, 1439, 1464, 1491, 1676, 1728, 1822, 1967, 2015, 2032, 2081, 2248, 2524, 2977, 3006, 3133, 3229, 3232, 3271, 3429, 3495, 3499, 3541, 3567, 3975, 4005, 4135, 4179, 4203, 4221, 4238, 4264, 4372, 4536, 4660, 4683, 4873, 4897, 5082, 5091, 5399, 5445, 5469, 5693, 5766, 6049, 6055, 6131, 6249, 6258, 6270, 6461, 6724, 6854, 6951, 6988, 7011, 7013, 7048, 7559, 7643, 7655, 7740, 7791, 7857, 8004, 8341, 8393, 8435, 8507, 8562, 8590, 8712, 8806, 8871, 9043, 9507, 9509, 9711, 9716, 9735, 9831, 9953]"
12,"[95, 335, 341, 442, 453, 496, 506, 552, 570, 637, 925, 930, 946, 1030, 1052, 1109, 1224, 1365, 1426, 1437, 1659, 1756, 1787, 2371, 2458, 2573, 2729, 2805, 3255, 3266, 3274, 3288, 3349, 3574, 3681, 3694, 3780, 3871, 4010, 4011, 4084, 4416, 4509, 4668, 4758, 5005, 5196, 5216, 5474, 5620, 5640, 5660, 5711, 5823, 5901, 5943, 5962, 6043, 6067, 6150, 6155, 6161, 6175, 6231, 6520, 6773, 7032, 7094, 7213, 7261, 7515, 7520, 7560, 7666, 7692, 7705, 7906, 8138, 8147, 8522, 8530, 8559, 8617, 8627, 8661, 8932, 8933, 8975, 8979, 9041, 9042, 9342, 9397, 9672, 9748, 9934]"
13,"[8, 72, 129, 306, 330, 392, 441, 503, 514, 592, 850, 968, 1017, 1187, 1251, 1352, 1366, 1380, 1541, 1601, 1636, 1645, 1854, 1939, 1981, 2029, 2044, 2067, 2283, 2365, 2598, 2647, 2756, 2771, 2862, 3045, 3069, 3097, 3210, 3272, 3323, 3340, 3442, 3453, 3465, 3558, 3724, 3824, 3886, 3890, 3926, 3969, 4278, 4336, 4339, 4650, 4662, 4769, 4800, 4840, 4896, 5056, 5121, 5478, 5587, 5883, 6072, 6076, 6209, 6277, 6519, 6526, 6619, 6746, 6819, 6868, 6881, 6962, 7059, 7084, 7100, 7156, 7344, 7456, 7462, 7679, 7782, 7867, 7941, 7970, 7997, 8042, 8102, 8166, 8224, 8350, 8373, 8394, 8414, 8596, 8856, 8970, 9112, 9162, 9312, 9398, 9513, 9614, 9690, 9713, 9741, 9795, 9809, 9922]"
14,"[277, 297, 366, 406, 620, 742, 1041, 1084, 1161, 1163, 1556, 1634, 1782, 1815, 1924, 2047, 2093, 2399, 2493, 2652, 2706, 2734, 2786, 2908, 3003, 3039, 3048, 3052, 3153, 3299, 3318, 3338, 3374, 3412, 3761, 3966, 4007, 4068, 4254, 4461, 4488, 4685, 4731, 4750, 4941, 5018, 5072, 5144, 5185, 5495, 5511, 5804, 5833, 5923, 5988, 6262, 6529, 6569, 6692, 6813, 6887, 6945, 7131, 7187, 7203, 7253, 7336, 7356, 7384, 7485, 7506, 7583, 7650, 7743, 7796, 7914, 7981, 8060, 8188, 8325, 8361, 8461, 8538, 8585, 8599, 8616, 8737, 8738, 8743, 8807, 8831, 9048, 9100, 9140, 9154, 9223, 9324, 9331, 9396, 9462, 9598, 9637, 9827, 9990]"
15,"[37, 70, 131, 168, 175, 305, 458, 547, 577, 590, 738, 750, 835, 866, 950, 1013, 1101, 1190, 1233, 1331, 1455, 1524, 1586, 1618, 1734, 1735, 1775, 1821, 1834, 2181, 2297, 2315, 2459, 2478, 2532, 2540, 2679, 3123, 3146, 3172, 3227, 3379, 3425, 3486, 3602, 3775, 3919, 4013, 4502, 4513, 4596, 4730, 4818, 4969, 4995, 5011, 5205, 5354, 5655, 5674, 5688, 5736, 5811, 5825, 6010, 6039, 6095, 6119, 6128, 6320, 6376, 6492, 6548, 6584, 6714, 6830, 7010, 7030, 7039, 7164, 7171, 7375, 7648, 7991, 8014, 8091, 8100, 8118, 8205, 8682, 8711, 8727, 8829, 8888, 8894, 8955, 8976, 9028, 9040, 9084, 9132, 9150, 9156, 9224, 9298, 9517, 9651, 9666, 9846, 9857, 9936]"
16,"[32, 167, 253, 345, 389, 426, 549, 573, 669, 760, 814, 867, 954, 995, 1037, 1070, 1112, 1362, 1614, 1686, 1688, 1692, 1826, 1883, 1965, 1983, 1986, 2097, 2194, 2400, 2611, 2624, 2882, 3023, 3076, 3190, 3216, 3352, 3881, 3889, 4049, 4342, 4376, 4537, 4814, 4833, 4891, 4898, 4915, 5268, 5275, 5582, 5596, 5634, 5663, 5913, 5980, 6054, 6062, 6158, 6264, 6274, 6470, 6475, 6556, 6571, 6609, 6663, 6669, 6682, 6744, 6831, 6898, 6936, 6965, 6989, 7017, 7050, 7116, 7142, 7151, 7204, 7334, 7351, 7629, 7713, 7836, 7850, 7974, 8075, 8104, 8210, 8258, 8376, 8442, 8444, 8561, 8777, 9097, 9111, 9209, 9225, 9269, 9722, 9800, 9915, 9992]"
17,"[118, 261, 317, 367, 599, 757, 822, 839, 1130, 1186, 1487, 1520, 1552, 1564, 1577, 1720, 1752, 1859, 1947, 2094, 2192, 2355, 2386, 2490, 2574, 2637, 2719, 2762, 2767, 2781, 2830, 2886, 2907, 2964, 2982, 3122, 3175, 3189, 3246, 3371, 3551, 3576, 3597, 3659, 3727, 3840, 3907, 3924, 3990, 3993, 4035, 4341, 4361, 4542, 4622, 4655, 4715, 4741, 4771, 4928, 4930, 4947, 4980, 5074, 5081, 5176, 5312, 5365, 5379, 5543, 5752, 5832, 5858, 5866, 5898, 5967, 6057, 6192, 6339, 6416, 6440, 6547, 6625, 6715, 6807, 6902, 6904, 7047, 7057, 7233, 7292, 7353, 7584, 7587, 7622, 7660, 7786, 7866, 7950, 7979, 8151, 8225, 8236, 8528, 8568, 8630, 8715, 8761, 8768, 9020, 9038, 9121, 9213, 9313, 9603, 9630, 9721, 9774, 9841]"
18,"[15, 34, 403, 504, 548, 600, 681, 799, 1009, 1035, 1338, 1402, 1407, 1546, 1598, 1635, 1845, 1910, 2277, 2294, 2695, 2712, 2739, 2772, 2856, 2942, 2950, 2992, 3391, 3419, 3489, 3514, 3721, 3888, 3906, 3931, 4020, 4142, 4223, 4233, 4486, 4584, 4709, 4728, 4773, 5040, 5146, 5222, 5323, 5441, 5983, 5990, 6089, 6228, 6410, 6588, 6702, 6757, 6852, 6911, 6918, 7104, 7258, 7264, 7343, 7362, 7425, 7497, 7672, 7723, 7854, 7917, 8214, 8278, 8384, 8481, 8586, 8855, 8916, 8957, 9006, 9049, 9055, 9073, 9125, 9260, 9421, 9611, 9778, 9917, 9938]"
19,"[138, 161, 304, 451, 544, 702, 894, 895, 897, 1189, 1247, 1278, 1355, 1540, 1736, 1779, 1900, 2013, 2382, 2619, 2690, 2850, 2955, 3049, 3107, 3108, 3159, 3324, 3630, 3720, 3837, 3859, 4041, 4198, 4239, 4296, 4428, 4458, 4854, 4877, 4990, 5065, 5145, 5263, 5360, 5396, 5541, 5695, 5795, 5828, 6001, 6215, 6478, 6602, 6636, 6778, 6788, 6901, 7321, 7478, 7543, 7989, 8084, 8386, 8488, 8775, 8903, 9168, 9221, 9243, 9306, 9469, 9574, 9661, 9870, 9889, 9939, 9997]"
20,"[58, 208, 299, 387, 473, 617, 623, 851, 931, 953, 1194, 1360, 1479, 1563, 1580, 1792, 2077, 2260, 2741, 2869, 3093, 3145, 3275, 3392, 3623, 3710, 4040, 4080, 4109, 4210, 4319, 4396, 4424, 4425, 4427, 4496, 4520, 4577, 4687, 4945, 5008, 5019, 5148, 5234, 5391, 5407, 5421, 5678, 5702, 5787, 5963, 6020, 6154, 6160, 6286, 6393, 6553, 6870, 6871, 6970, 7221, 7352, 7463, 7566, 7673, 7799, 7812, 7895, 7900, 8251, 8280, 8479, 8486, 8626, 8693, 8713, 8736, 8766, 9175, 9228, 9254, 9318, 9358, 9437, 9472, 9481, 9731]"
21,"[130, 312, 414, 424, 465, 648, 727, 819, 862, 1062, 1226, 1340, 1359, 1415, 1443, 1460, 1530, 1578, 1880, 1911, 1966, 2292, 2751, 2884, 3073, 3155, 3207, 3212, 3366, 3484, 3752, 3872, 3933, 4034, 4097, 4199, 4301, 4315, 4483, 4583, 4599, 4754, 4832, 4908, 4939, 5344, 5492, 5648, 5799, 5857, 5899, 6031, 6075, 6085, 6087, 6147, 6252, 6522, 6523, 6539, 6759, 6776, 6786, 6821, 6875, 7091, 7383, 7416, 7607, 7718, 8080, 8093, 8137, 8283, 8419, 8453, 8456, 8665, 8811, 8990, 9078, 9088, 9297, 9529, 9629, 9683]"
22,"[61, 77, 195, 309, 310, 438, 495, 635, 675, 751, 848, 952, 1264, 1271, 1356, 1375, 1419, 1516, 1547, 1549, 1798, 1811, 2010, 2107, 2254, 2281, 2413, 3214, 3361, 3420, 3566, 3688, 3762, 3808, 3891, 3898, 3909, 4173, 4245, 4414, 4499, 4600, 4954, 4981, 5105, 5255, 5314, 5326, 5414, 5604, 5623, 5759, 5882, 5906, 5910, 6091, 6482, 6510, 6575, 6590, 6708, 7008, 7025, 7101, 7240, 7709, 7960, 8033, 8079, 8085, 8126, 8144, 8383, 8450, 8517, 8531, 8552, 8684, 8734, 8921, 9029, 9106, 9131, 9343, 9355, 9523, 9535, 9581, 9620, 9644, 9873, 9882]"
23,"[3, 89, 105, 146, 349, 569, 602, 716, 847, 879, 901, 949, 961, 1066, 1126, 1210, 1261, 1454, 1462, 1480, 1525, 1715, 1739, 1844, 1878, 2095, 2228, 2259, 2309, 2339, 2481, 2735, 2848, 2970, 3077, 3137, 3157, 3756, 3809, 3992, 3995, 4012, 4563, 4589, 4911, 5051, 5073, 5301, 5389, 5467, 5553, 5649, 5872, 5888, 6207, 6261, 6300, 6407, 6565, 6829, 6846, 7493, 7507, 7702, 7724, 7778, 7899, 7969, 8071, 8097, 8195, 8269, 8316, 8346, 8423, 8591, 8628, 8635, 8854, 8874, 8966, 9057, 9144, 9258, 9454, 9532, 9547, 9966]"
24,"[141, 179, 180, 181, 316, 347, 385, 405, 490, 568, 688, 777, 878, 1060, 1137, 1147, 1153, 1276, 1398, 1499, 1620, 1772, 1828, 2057, 2167, 2253, 2302, 2522, 2545, 2640, 2802, 3113, 3187, 3309, 3372, 3396, 3469, 3647, 3682, 3910, 3917, 4162, 4260, 4364, 4649, 4713, 4827, 5102, 5483, 5488, 5535, 5621, 5680, 5789, 5822, 5877, 5884, 5887, 5907, 6013, 6118, 6144, 6163, 6244, 6311, 6543, 6616, 6646, 6933, 7029, 7063, 7064, 7068, 7090, 7109, 7279, 7455, 7476, 7913, 7935, 7983, 7993, 8015, 8055, 8306, 8318, 8348, 8391, 8521, 8688, 8865, 9183, 9216, 9230, 9268, 9402, 9461, 9663, 9758, 9797, 9810]"
25,"[64, 159, 284, 285, 636, 686, 747, 863, 928, 1127, 1160, 1185, 1384, 1510, 1527, 1531, 1555, 1653, 1754, 1795, 1915, 1962, 2014, 2034, 2078, 2286, 2447, 2463, 2558, 2730, 2782, 2815, 2879, 3057, 3193, 3784, 3845, 3941, 3985, 4066, 4160, 4271, 4403, 4453, 5108, 5157, 5217, 5243, 5282, 5318, 5485, 5525, 5548, 5578, 5798, 5870, 5881, 5930, 5966, 6004, 6065, 6225, 6236, 6405, 6509, 6627, 6653, 6668, 6691, 6913, 7106, 7186, 7250, 7400, 7489, 7598, 7788, 7838, 8062, 8413, 9067, 9212, 9290, 9378, 9381, 9553, 9563, 9762, 9865, 9883, 9916, 9932, 9988]"
26,"[24, 55, 314, 766, 843, 1131, 1162, 1165, 1240, 1253, 1263, 1429, 1522, 1896, 1991, 2108, 2346, 2408, 2641, 2645, 2962, 3088, 3273, 3395, 3416, 3555, 3585, 3879, 3880, 3895, 4025, 4115, 4136, 4174, 4719, 4795, 5057, 5381, 5427, 5453, 5542, 5562, 5565, 5658, 5725, 5744, 5746, 5793, 5856, 5935, 5978, 6101, 6303, 6325, 6434, 6891, 6899, 7069, 7277, 7329, 7465, 7553, 7614, 7815, 7832, 7869, 7922, 7955, 7977, 8338, 8358, 8437, 8603, 8679, 8695, 8730, 8842, 8875, 9415, 9420, 9520, 9564, 9753, 9788, 9860, 9914, 9956]"
27,"[79, 121, 156, 269, 561, 720, 789, 870, 884, 976, 1094, 1393, 1410, 1566, 1572, 1584, 1656, 1660, 1769, 1865, 2053, 2151, 2209, 2212, 2588, 2591, 2723, 2736, 2740, 2796, 2813, 2825, 2997, 3021, 3026, 3118, 3468, 3579, 3613, 3706, 3750, 3877, 3914, 3988, 4046, 4072, 4217, 4218, 4236, 4265, 4280, 4407, 4721, 4734, 4855, 4904, 4957, 5174, 5219, 5285, 5534, 5586, 5819, 5878, 6069, 6193, 6214, 6268, 6398, 6441, 6485, 6486, 6528, 6648, 6656, 6737, 7036, 7417, 7434, 7469, 7500, 7536, 7552, 7572, 7774, 7957, 8046, 8054, 8131, 8477, 8495, 8650, 8662, 8672, 8716, 8812, 8870, 9034, 9292, 9384, 9404, 9424, 9444, 9537, 9766, 9780, 9837, 9876]"
28,"[40, 75, 264, 272, 274, 303, 336, 687, 784, 888, 980, 1025, 1297, 1502, 1669, 1710, 1882, 2111, 2514, 2602, 2755, 2817, 2834, 2858, 2945, 2975, 3300, 3385, 3534, 3587, 3666, 3731, 3802, 3976, 4043, 4108, 4194, 4242, 4243, 4303, 4436, 4463, 4510, 4566, 4890, 4902, 5106, 5119, 5324, 5377, 5432, 5476, 5572, 5601, 5622, 5706, 5718, 5776, 6275, 6324, 6372, 6460, 6481, 6483, 6803, 6805, 6886, 6959, 7137, 7262, 7316, 7374, 7604, 7699, 7830, 7883, 8163, 8201, 8212, 8322, 8332, 8439, 8634, 8692, 8703, 8808, 9004, 9082, 9118, 9137, 9242, 9361, 9489, 9696, 9750, 9903]"
29,"[54, 178, 339, 352, 587, 598, 616, 677, 945, 1074, 1265, 1310, 1369, 1451, 1628, 1673, 1718, 1777, 1928, 2329, 2414, 2425, 2556, 2804, 2965, 3027, 3100, 3115, 3262, 3452, 3525, 3625, 3627, 4100, 4148, 4492, 4633, 4661, 4822, 5152, 5210, 5262, 5631, 5652, 5653, 5699, 5770, 5772, 5941, 5952, 5958, 6068, 6289, 6445, 6504, 6570, 6580, 6964, 7201, 7282, 7295, 7492, 7511, 7530, 7808, 7954, 8133, 8152, 8396, 8683, 8694, 8900, 8910, 8926, 9164, 9410, 9724, 9777, 9825, 9945, 9961, 9993]"
30,"[157, 270, 379, 470, 494, 643, 654, 710, 810, 875, 1152, 1282, 1371, 1498, 1560, 1608, 1652, 1733, 1833, 1904, 1938, 2011, 2016, 2066, 2074, 2110, 2130, 2268, 2331, 2336, 2453, 2484, 2497, 2550, 2701, 2708, 2875, 2931, 2938, 3061, 3068, 3126, 3268, 3433, 3517, 3619, 3652, 3726, 3769, 3819, 4077, 4145, 4167, 4204, 4263, 4293, 4328, 4373, 4450, 4579, 4657, 4684, 4843, 4940, 5122, 5479, 5557, 5580, 5671, 5675, 5733, 5805, 6146, 6238, 6299, 6338, 6396, 6467, 6695, 7256, 7320, 7453, 7534, 7571, 7593, 7606, 7662, 7664, 7773, 7816, 8050, 8169, 8430, 8471, 8667, 8685, 8915, 8919, 9046, 9090, 9091, 9108, 9184, 9222, 9315, 9339, 9347, 9480, 9595, 9609, 9701, 9769, 9851, 9856, 9965, 9989]"
